Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-52R-5, 22.0 cm",NULL,NULL,762.441,762.865,762.441,762.865,"C0011B-52R-5, 23.0 cm",NULL,NULL,762.451,762.875,762.451,762.875,"C0011B-52R-5 W, 22.0--23.0 cm",CKY000000000000469210,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:31Z,NULL,198,glass beaker,6.066,2.761,9.0971,4.1829,3.0311,198,glass beaker,6.066,2.761,8.5466,3.6348,2.4806,0.5705,0.5571,0.8648,1.4219,0.8738,0.02,0.009,2.4606,0.1882,0.2319,2.1317,1.7305,2.8453,0.3918,0.6442,fuway,2010-08-17T03:19:04Z
"C0011B-52R-5, 82.0 cm",NULL,NULL,762.998,763.465,762.998,763.465,"C0011B-52R-5, 84.0 cm",NULL,NULL,763.016,763.485,763.016,763.485,"C0011B-52R-5 WR, 82.0--84.0 cm",CKY000000000000460410,PP,NULL,7,matt322,NULL,CKY,2009-09-20T22:08:50Z,NULL,423,glass beaker,6.226,2.811,9.6231,4.4365,3.3971,423,glass beaker,6.226,2.811,9.0069,3.823,2.7809,0.6385,0.6235,1.002,1.6255,1.012,0.0223,0.01,2.7586,0.188,0.2315,2.0899,1.6971,2.7531,0.3836,0.6223,yohei322,2009-09-22T20:59:41Z
"C0011B-52R-5, 97.0 cm",NULL,NULL,763.137,763.615,763.137,763.615,"C0011B-52R-5, 98.0 cm",NULL,NULL,763.146,763.625,763.146,763.625,"C0011B-52R-5 W, 97.0--98.0 cm",CKY000000000000469310,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:32Z,NULL,448,glass beaker,6.153,2.772,9.5957,4.4343,3.4427,448,glass beaker,6.153,2.772,8.9283,3.7698,2.7753,0.6916,0.6754,0.9869,1.6623,0.9978,0.0242,0.0109,2.7511,0.2009,0.2514,2.071,1.655,2.7876,0.4063,0.6844,fuway,2010-08-17T03:19:09Z
"C0011B-52R-6, 0.0 cm",NULL,NULL,763.341,763.835,763.341,763.835,"C0011B-52R-6, 2.0 cm",NULL,NULL,763.36,763.855,763.36,763.855,"C0011B-52R-6 WR, 0.0--2.0 cm",CKY000000000000450310,PP,NULL,5,matt322,NULL,CKY,2009-09-20T18:30:46Z,NULL,186,glass beaker,5.966,2.677,9.644,4.3654,3.678,186,glass beaker,5.966,2.677,9.0329,3.7569,3.0669,0.6333,0.6185,1.0699,1.6884,1.0799,0.0222,0.01,3.0447,0.1722,0.208,2.1784,1.8033,2.8458,0.3663,0.5781,fuway,2010-08-17T03:19:03Z
"C0011B-52R-7, 5.0 cm",NULL,NULL,763.949,764.49,763.949,764.49,"C0011B-52R-7, 6.0 cm",NULL,NULL,763.958,764.5,763.958,764.5,"C0011B-52R-7 W, 5.0--6.0 cm",CKY000000000000469410,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T02:28:32Z,NULL,192,glass beaker,5.947,2.606,9.6208,4.4699,3.6738,192,glass beaker,5.947,2.606,8.9501,3.8021,3.0031,0.695,0.6787,1.1852,1.8639,1.1961,0.0243,0.0109,2.9788,0.1892,0.2333,1.971,1.5982,2.5133,0.3641,0.5726,yohei322,2009-09-22T20:59:42Z
"C0011B-53R-1, 15.0 cm",NULL,NULL,766.6,766.65,766.6,766.65,"C0011B-53R-1, 16.0 cm",NULL,NULL,766.606,766.66,766.606,766.66,"C0011B-53R-1 W, 15.0--16.0 cm",CKY000000000000476010,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T03:58:48Z,NULL,403,glass beaker,6.123,2.746,10.1086,4.822,3.9856,403,glass beaker,6.123,2.746,9.2686,3.9856,3.1456,0.8705,0.8501,1.2259,2.076,1.2396,0.0305,0.0137,3.1151,0.2184,0.2794,1.9198,1.5005,2.5411,0.4095,0.6934,yohei322,2009-09-22T20:59:42Z
"C0011B-53R-1, 82.0 cm",NULL,NULL,767.045,767.32,767.045,767.32,"C0011B-53R-1, 84.0 cm",NULL,NULL,767.058,767.34,767.058,767.34,"C0011B-53R-1 WR, 82.0--84.0 cm",CKY000000000000466710,PP,NULL,15,brandon322,NULL,CKY,2009-09-21T00:28:00Z,NULL,427,glass beaker,6.362,2.847,9.6567,4.4914,3.2947,427,glass beaker,6.362,2.847,9.0015,3.839,2.6395,0.679,0.6631,0.9813,1.6444,0.992,0.0238,0.0107,2.6157,0.2061,0.2596,2.0036,1.5907,2.6655,0.4032,0.6757,yohei322,2009-09-22T20:59:42Z
"C0011B-53R-1, 112.0 cm",NULL,NULL,767.244,767.62,767.244,767.62,"C0011B-53R-1, 114.0 cm",NULL,NULL,767.257,767.64,767.257,767.64,"C0011B-53R-1 WR, 112.0--114.0 cm",CKY000000000000467510,PP,NULL,5,brandon322,NULL,CKY,2009-09-21T00:30:24Z,NULL,405,glass beaker,6.179,2.803,9.3826,4.3249,3.2036,405,glass beaker,6.179,2.803,8.7928,3.7376,2.6138,0.6112,0.5969,0.925,1.5219,0.9346,0.0214,0.0096,2.5924,0.1908,0.2358,2.105,1.7034,2.8026,0.3922,0.6453,fuway,2010-08-17T03:19:04Z
"C0011B-53R-2, 0.0 cm",NULL,NULL,767.301,767.705,767.301,767.705,"C0011B-53R-2, 2.0 cm",NULL,NULL,767.314,767.725,767.314,767.725,"C0011B-53R-2 WR, 0.0--2.0 cm",CKY000000000000462110,PP,NULL,5,matt322,NULL,CKY,2009-09-20T22:46:48Z,NULL,172,glass beaker,6.021,2.672,9.4453,4.2921,3.4243,172,glass beaker,6.021,2.672,8.8851,3.7343,2.8641,0.5805,0.5669,1.0532,1.6201,1.0623,0.0203,0.0091,2.8438,0.1695,0.2041,2.1136,1.7553,2.7002,0.3499,0.5383,yohei322,2009-09-22T20:59:41Z
"C0011B-53R-3, 25.0 cm",NULL,NULL,767.872,768.565,767.872,768.565,"C0011B-53R-3, 26.0 cm",NULL,NULL,767.878,768.575,767.878,768.575,"C0011B-53R-3 W, 25.0--26.0 cm",CKY000000000000476110,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T03:58:48Z,NULL,426,glass beaker,6.251,2.841,9.8134,4.6566,3.5624,426,glass beaker,6.251,2.841,8.9993,3.8461,2.7483,0.8436,0.8238,0.9918,1.8156,1.0051,0.0295,0.0133,2.7188,0.2368,0.3103,1.9621,1.4975,2.7413,0.4537,0.8306,fuway,2010-08-17T03:19:08Z
"C0011B-54R-1, 38.0 cm",NULL,NULL,770.58,770.58,770.58,770.58,"C0011B-54R-1, 39.0 cm",NULL,NULL,770.59,770.59,770.59,770.59,"C0011B-54R-1 W, 38.0--39.0 cm",CKY000000000000483910,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T11:07:50Z,NULL,164,glass beaker,6.107,2.721,10.4965,4.9524,4.3895,164,glass beaker,6.107,2.721,9.6026,4.0624,3.4956,0.9263,0.9046,1.3268,2.2314,1.3414,0.0324,0.0146,3.4632,0.211,0.2675,1.9672,1.552,2.6102,0.4054,0.6818,fuway,2010-08-17T03:19:02Z
"C0011B-54R-1, 99.0 cm",NULL,NULL,771.19,771.19,771.19,771.19,"C0011B-54R-1, 100.0 cm",NULL,NULL,771.2,771.2,771.2,771.2,"C0011B-54R-1 W, 99.0--100.0 cm",CKY000000000000484010,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T11:07:50Z,NULL,27,glass beaker,4.639,2.091,9.3534,4.444,4.7144,27,glass beaker,4.639,2.091,8.3896,3.4844,3.7506,0.9988,0.9754,1.3776,2.353,1.3934,0.035,0.0158,3.7156,0.2119,0.2688,2.0036,1.5791,2.6972,0.4145,0.708,yohei322,2009-09-22T20:59:43Z
"C0011B-54R-2, 74.0 cm",NULL,NULL,772.35,772.35,772.35,772.35,"C0011B-54R-2, 75.0 cm",NULL,NULL,772.36,772.36,772.36,772.36,"C0011B-54R-2 W, 74.0--75.0 cm",CKY000000000000484310,PP,NULL,7,yohei322,NULL,CKY,2009-09-21T11:33:35Z,NULL,112,glass beaker,6.02,2.706,9.6728,4.5115,3.6528,112,glass beaker,6.02,2.706,8.9658,3.8076,2.9458,0.7326,0.7154,1.0901,1.8055,1.1016,0.0256,0.0115,2.9202,0.2006,0.2509,2.0232,1.6174,2.6788,0.3962,0.6563,fuway,2010-08-17T03:18:54Z
"C0011B-54R-4, 13.0 cm",NULL,NULL,772.96,772.96,772.96,772.96,"C0011B-54R-4, 15.0 cm",NULL,NULL,772.98,772.98,772.98,772.98,"C0011B-54R-4 W, 13.0--15.0 cm",CKY000000000000484210,PP,NULL,10,andre322,NULL,CKY,2009-09-21T11:33:13Z,NULL,134,glass beaker,6.034,2.724,10.8068,4.9996,4.7728,134,glass beaker,6.034,2.724,10.0331,4.2293,3.9991,0.8018,0.783,1.4926,2.2756,1.5053,0.0281,0.0127,3.971,0.168,0.2019,2.0974,1.745,2.6605,0.3441,0.5246,yohei322,2009-09-22T20:59:43Z
"C0011B-54R-4, 97.0 cm",NULL,NULL,773.8,773.8,773.8,773.8,"C0011B-54R-4, 98.0 cm",NULL,NULL,773.81,773.81,773.81,773.81,"C0011B-54R-4 W, 97.0--98.0 cm",CKY000000000000485210,PP,NULL,10,andre322,NULL,CKY,2009-09-21T12:20:28Z,NULL,199,glass beaker,6.01,2.731,10.2144,4.7264,4.2044,199,glass beaker,6.01,2.731,9.4674,3.9826,3.4574,0.7741,0.756,1.2394,1.9954,1.2516,0.0271,0.0122,3.4303,0.1841,0.2257,2.107,1.7191,2.7677,0.3789,0.61,yohei322,2009-09-22T20:59:43Z
"C0011B-54R-5, 44.0 cm",NULL,NULL,774.675,774.675,774.675,774.675,"C0011B-54R-5, 46.0 cm",NULL,NULL,774.695,774.695,774.695,774.695,"C0011B-54R-5 WR, 44.0--46.0 cm",CKY000000000000479410,PP,NULL,5,brandon322,NULL,CKY,2009-09-21T07:50:17Z,NULL,200,glass beaker,6.027,2.714,10.2186,4.7073,4.1916,200,glass beaker,6.027,2.714,9.5703,4.0618,3.5433,0.6718,0.6561,1.3372,1.9933,1.3478,0.0235,0.0106,3.5198,0.1603,0.1909,2.1028,1.7658,2.6322,0.3292,0.4907,fuway,2010-08-17T03:19:04Z
"C0011B-54R-5, 70.0 cm",NULL,NULL,774.935,774.935,774.935,774.935,"C0011B-54R-5, 72.0 cm",NULL,NULL,774.955,774.955,774.955,774.955,"C0011B-54R-5 WR, 70.0--72.0 cm",CKY000000000000480210,PP,NULL,5,brandon322,NULL,CKY,2009-09-21T07:52:37Z,NULL,440,glass beaker,6.194,2.758,11.3132,5.1268,5.1192,440,glass beaker,6.194,2.758,10.6214,4.438,4.4274,0.7169,0.7001,1.6687,2.3688,1.68,0.0251,0.0113,4.4023,0.14,0.1628,2.1611,1.8585,2.6382,0.2956,0.4195,yohei322,2009-09-22T20:59:42Z
"C0011B-54R-5, 110.0 cm",NULL,NULL,775.335,775.335,775.335,775.335,"C0011B-54R-5, 112.0 cm",NULL,NULL,775.355,775.355,775.355,775.355,"C0011B-54R-5 WR, 110.0--112.0 cm",CKY000000000000481010,PP,NULL,5,brandon322,NULL,CKY,2009-09-21T07:54:56Z,NULL,438,glass beaker,6.009,2.703,9.6522,4.3746,3.6432,438,glass beaker,6.009,2.703,9.1464,3.871,3.1374,0.5241,0.5118,1.1598,1.6716,1.168,0.0183,0.0082,3.1191,0.1439,0.168,2.1795,1.8659,2.6893,0.3062,0.4413,fuway,2010-08-17T03:19:08Z
"C0011B-55R-1, 27.0 cm",NULL,NULL,779.27,779.27,779.27,779.27,"C0011B-55R-1, 29.0 cm",NULL,NULL,779.29,779.29,779.29,779.29,"C0011B-55R-1 WR, 27.0--29.0 cm",CKY000000000000485910,PP,NULL,7,matt322,NULL,CKY,2009-09-21T13:54:48Z,NULL,414,glass beaker,6.263,2.793,10.481,4.854,4.218,414,glass beaker,6.263,2.793,9.7262,4.1024,3.4632,0.7822,0.7639,1.2971,2.061,1.3094,0.0274,0.0123,3.4358,0.1854,0.2277,2.0466,1.6671,2.6488,0.3706,0.5889,yohei322,2009-09-22T20:59:43Z
"C0011B-55R-2, 0.0 cm",NULL,NULL,779.5,779.5,779.5,779.5,"C0011B-55R-2, 2.0 cm",NULL,NULL,779.52,779.52,779.52,779.52,"C0011B-55R-2 WR, 0.0--2.0 cm",CKY000000000000482510,PP,NULL,5,katerina322,NULL,CKY,2009-09-21T09:51:39Z,NULL,445,glass beaker,6.239,2.779,10.6305,4.8418,4.3915,445,glass beaker,6.239,2.779,9.9215,4.1359,3.6825,0.7347,0.7175,1.3453,2.0628,1.3569,0.0257,0.0116,3.6568,0.1673,0.2009,2.1289,1.7727,2.7182,0.3478,0.5333,yohei322,2009-09-22T20:59:42Z
"C0011B-55R-3, 8.0 cm",NULL,NULL,780.18,780.18,780.18,780.18,"C0011B-55R-3, 9.0 cm",NULL,NULL,780.19,780.19,780.19,780.19,"C0011B-55R-3 W, 8.0--9.0 cm",CKY000000000000488810,PP,NULL,5,matt322,NULL,CKY,2009-09-21T16:00:52Z,NULL,23,glass beaker,4.619,2.09,8.9584,4.2898,4.3394,23,glass beaker,4.619,2.09,8.059,3.3943,3.44,0.932,0.9102,1.2896,2.1998,1.3043,0.0326,0.0147,3.4074,0.2148,0.2735,1.9726,1.549,2.6422,0.4138,0.7058,yohei322,2009-09-22T20:59:43Z
"C0011B-55R-3, 77.0 cm",NULL,NULL,780.87,780.87,780.87,780.87,"C0011B-55R-3, 79.5 cm",NULL,NULL,780.895,780.895,780.895,780.895,"C0011B-55R-3 WR, 77.0--79.5 cm",CKY000000000000486710,PP,NULL,7,matt322,NULL,CKY,2009-09-21T14:12:38Z,NULL,6,glass beaker,4.522,2.014,10.6454,5.0016,6.1234,6,glass beaker,4.522,2.014,9.5897,3.9505,5.0677,1.094,1.0684,1.9192,2.9876,1.9365,0.0383,0.0173,5.0294,0.1787,0.2175,2.0496,1.6834,2.6206,0.3576,0.5567,yohei322,2009-09-22T20:59:43Z
"C0011B-55R-5, 23.0 cm",NULL,NULL,781.85,781.85,781.85,781.85,"C0011B-55R-5, 25.0 cm",NULL,NULL,781.87,781.87,781.87,781.87,"C0011B-55R-5 WR, 23.0--25.0 cm",CKY000000000000487710,PP,NULL,7,matt322,NULL,CKY,2009-09-21T14:23:22Z,NULL,179,glass beaker,6.043,2.719,10.5556,4.92,4.5126,179,glass beaker,6.043,2.719,9.7338,4.1018,3.6908,0.8516,0.8316,1.3694,2.201,1.3828,0.0298,0.0134,3.661,0.1887,0.2326,2.0502,1.6633,2.6734,0.3778,0.6073,fuway,2010-08-17T03:19:03Z
"C0011B-56R-1, 20.0 cm",NULL,NULL,844.187,844.2,844.187,844.2,"C0011B-56R-1, 21.0 cm",NULL,NULL,844.196,844.21,844.196,844.21,"C0011B-56R-1 W, 20.0--21.0 cm",CKY000000000000499510,PP,NULL,7,yohei322,NULL,CKY,2009-09-22T06:38:11Z,NULL,153,glass beaker,6.082,2.691,9.67,4.428,3.588,153,glass beaker,6.082,2.691,9.0421,3.8029,2.9601,0.6507,0.6354,1.1016,1.737,1.1119,0.0228,0.0103,2.9373,0.1814,0.2215,2.0656,1.691,2.6664,0.3658,0.5768,fuway,2010-08-17T03:18:59Z
"C0011B-56R-2, 0.0 cm",NULL,NULL,844.532,844.57,844.532,844.57,"C0011B-56R-2, 2.0 cm",NULL,NULL,844.551,844.59,844.551,844.59,"C0011B-56R-2 WR, 0.0--2.0 cm",CKY000000000000498010,PP,NULL,5,brandon322,NULL,CKY,2009-09-22T04:37:44Z,NULL,178,glass beaker,6.074,2.738,10.1968,4.7488,4.1228,178,glass beaker,6.074,2.738,9.4424,3.9976,3.3684,0.7818,0.7635,1.2473,2.0108,1.2596,0.0274,0.0123,3.341,0.1896,0.234,2.0503,1.6615,2.6786,0.3797,0.6121,fuway,2010-08-17T03:19:03Z
"C0011B-56R-3, 30.0 cm",NULL,NULL,845.373,845.47,845.373,845.47,"C0011B-56R-3, 31.0 cm",NULL,NULL,845.382,845.48,845.382,845.48,"C0011B-56R-3 W, 30.0--31.0 cm",CKY000000000000499610,PP,NULL,7,yohei322,NULL,CKY,2009-09-22T07:04:30Z,NULL,121,glass beaker,6.07,2.757,8.8183,4.1032,2.7483,121,glass beaker,6.07,2.757,8.2783,3.5655,2.2083,0.5596,0.5465,0.7997,1.3462,0.8085,0.0196,0.0088,2.1887,0.2036,0.2557,2.0415,1.6258,2.7369,0.406,0.6834,matt322,2009-09-23T13:56:00Z
"C0011B-56R-3, 100.0 cm",NULL,NULL,846.027,846.17,846.027,846.17,"C0011B-56R-3, 101.0 cm",NULL,NULL,846.036,846.18,846.036,846.18,"C0011B-56R-3 W, 100.0--101.0 cm",CKY000000000000499710,PP,NULL,7,yohei322,NULL,CKY,2009-09-22T07:04:30Z,NULL,407,glass beaker,6.251,2.813,11.0062,4.9784,4.7552,407,glass beaker,6.251,2.813,10.3153,4.2905,4.0643,0.716,0.6992,1.4662,2.1654,1.4775,0.0251,0.0113,4.0392,0.1506,0.1773,2.196,1.8653,2.7549,0.3229,0.4769,fuway,2010-08-17T03:19:05Z
"C0011B-57R-1, 25.0 cm",NULL,NULL,846.65,846.65,846.65,846.65,"C0011B-57R-1, 26.0 cm",NULL,NULL,846.66,846.66,846.66,846.66,"C0011B-57R-1 W, 25.0--26.0 cm",CKY000000000000509510,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T16:11:42Z,NULL,16,glass beaker,4.608,2.05,6.8379,3.1183,2.2299,16,glass beaker,4.608,2.05,6.497,2.7789,1.889,0.3533,0.345,0.7233,1.0683,0.7289,0.0124,0.0056,1.8766,0.1584,0.1883,2.0873,1.7566,2.5945,0.3229,0.477,matt322,2009-09-23T14:58:14Z
"C0011B-57R-1, 29.0 cm",NULL,NULL,846.69,846.69,846.69,846.69,"C0011B-57R-1, 30.0 cm",NULL,NULL,846.7,846.7,846.7,846.7,"C0011B-57R-1 W, 29.0--30.0 cm",CKY000000000000508910,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T14:57:18Z,NULL,436,glass beaker,6.227,2.789,10.8829,5.0067,4.6559,436,glass beaker,6.227,2.789,10.1147,4.2419,3.8877,0.7961,0.7774,1.4403,2.2177,1.4529,0.0279,0.0126,3.8598,0.171,0.2063,2.0994,1.7405,2.6799,0.3505,0.5397,matt322,2009-09-23T14:58:14Z
"C0011B-57R-1, 100.0 cm",NULL,NULL,847.4,847.4,847.4,847.4,"C0011B-57R-1, 101.0 cm",NULL,NULL,847.41,847.41,847.41,847.41,"C0011B-57R-1 W, 100.0--101.0 cm",CKY000000000000509010,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T14:57:18Z,NULL,124,glass beaker,5.993,2.694,10.0244,4.7495,4.0314,124,glass beaker,5.993,2.694,9.1559,3.8848,3.1629,0.9,0.8789,1.1766,2.0555,1.1908,0.0315,0.0142,3.1314,0.2232,0.2874,1.9613,1.5234,2.6614,0.4276,0.747,fuway,2010-08-17T03:18:55Z
"C0011B-57R-2, 96.0 cm",NULL,NULL,848.77,848.77,848.77,848.77,"C0011B-57R-2, 98.0 cm",NULL,NULL,848.79,848.79,848.79,848.79,"C0011B-57R-2 WR, 96.0--98.0 cm",CKY000000000000506410,PP,NULL,7,matt322,NULL,CKY,2009-09-22T12:50:53Z,NULL,442,glass beaker,6.231,2.822,10.901,4.983,4.67,442,glass beaker,6.231,2.822,10.179,4.2641,3.948,0.7482,0.7307,1.4303,2.161,1.4421,0.0262,0.0118,3.9218,0.1602,0.1908,2.161,1.8148,2.7419,0.3381,0.5109,fuway,2010-08-17T03:19:08Z
"C0011B-57R-3, 17.0 cm",NULL,NULL,849.39,849.39,849.39,849.39,"C0011B-57R-3, 19.0 cm",NULL,NULL,849.41,849.41,849.41,849.41,"C0011B-57R-3 W, 17.0--19.0 cm",CKY000000000000511610,PP,NULL,5,andre322,NULL,CKY,2009-09-22T16:55:08Z,NULL,17,glass beaker,4.584,2.062,9.4111,4.3983,4.8271,17,glass beaker,4.584,2.062,8.5113,3.5025,3.9273,0.9324,0.9105,1.4258,2.3363,1.4405,0.0326,0.0147,3.8947,0.1932,0.2394,2.0661,1.667,2.7316,0.3897,0.6386,fuway,2010-08-17T03:18:52Z
"C0011B-57R-3, 116.0 cm",NULL,NULL,850.38,850.38,850.38,850.38,"C0011B-57R-3, 118.0 cm",NULL,NULL,850.4,850.4,850.4,850.4,"C0011B-57R-3 W, 116.0--118.0 cm",CKY000000000000511710,PP,NULL,5,andre322,NULL,CKY,2009-09-22T16:55:41Z,NULL,190,glass beaker,6.059,2.734,8.9386,4.2815,2.8796,190,glass beaker,6.059,2.734,8.2203,3.5663,2.1613,0.7444,0.727,0.8205,1.5475,0.8323,0.0261,0.0118,2.1352,0.2585,0.3486,1.8608,1.3798,2.6023,0.4698,0.886,fuway,2010-08-17T03:19:04Z
"C0011B-57R-4, 0.0 cm",NULL,NULL,850.445,850.445,850.445,850.445,"C0011B-57R-4, 2.0 cm",NULL,NULL,850.465,850.465,850.465,850.465,"C0011B-57R-4 WR, 0.0--2.0 cm",CKY000000000000501610,PP,NULL,5,brandon322,NULL,CKY,2009-09-22T10:07:48Z,NULL,36,glass beaker,4.524,2.05,8.5188,3.9739,3.9948,36,glass beaker,4.524,2.05,7.7059,3.1645,3.1819,0.8424,0.8227,1.1012,1.9239,1.1145,0.0295,0.0133,3.1524,0.2109,0.2672,2.0764,1.6385,2.8627,0.4276,0.7471,matt322,2009-09-23T13:56:00Z
"C0011B-57R-5, 25.0 cm",NULL,NULL,851.295,851.295,851.295,851.295,"C0011B-57R-5, 26.0 cm",NULL,NULL,851.305,851.305,851.305,851.305,"C0011B-57R-5 W, 25.0--26.0 cm",CKY000000000000512710,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T17:31:01Z,NULL,131,glass beaker,6.049,2.74,8.7543,3.9988,2.7053,131,glass beaker,6.049,2.74,8.3016,3.5481,2.2526,0.4691,0.4581,0.8007,1.2588,0.8081,0.0164,0.0074,2.2362,0.1734,0.2098,2.1491,1.7765,2.7928,0.3639,0.5721,fuway,2010-08-17T03:18:58Z
"C0011B-57R-5, 100.0 cm",NULL,NULL,852.045,852.045,852.045,852.045,"C0011B-57R-5, 101.0 cm",NULL,NULL,852.055,852.055,852.055,852.055,"C0011B-57R-5 W, 100.0--101.0 cm",CKY000000000000512810,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T17:31:01Z,NULL,149,glass beaker,6.07,2.715,7.8774,3.5875,1.8074,149,glass beaker,6.07,2.715,7.5892,3.3005,1.5192,0.2987,0.2917,0.5808,0.8725,0.5855,0.0105,0.0047,1.5087,0.1653,0.198,2.0715,1.7292,2.5976,0.3343,0.5022,fuway,2010-08-17T03:18:59Z
"C0011B-57R-5, 120.0 cm",NULL,NULL,852.245,852.245,852.245,852.245,"C0011B-57R-5, 123.0 cm",NULL,NULL,852.275,852.275,852.275,852.275,"C0011B-57R-5 WR, 120.0--123.0 cm",CKY000000000000503310,PP,NULL,5,brandon322,NULL,CKY,2009-09-22T10:22:34Z,NULL,24,glass beaker,4.632,2.081,9.6918,4.4555,5.0598,24,glass beaker,4.632,2.081,8.9152,3.6823,4.2832,0.8048,0.7859,1.5886,2.3745,1.6013,0.0282,0.0127,4.255,0.1591,0.1891,2.1309,1.792,2.6785,0.331,0.4947,fuway,2010-08-17T03:18:53Z
"C0011B-57R-6, 23.0 cm",NULL,NULL,852.685,852.685,852.685,852.685,"C0011B-57R-6, 25.0 cm",NULL,NULL,852.705,852.705,852.705,852.705,"C0011B-57R-6 WR, 23.0--25.0 cm",CKY000000000000508310,PP,NULL,7,matt322,NULL,CKY,2009-09-22T13:03:08Z,NULL,140,glass beaker,6.004,2.671,10.5017,5.1148,4.4977,140,glass beaker,6.004,2.671,9.3942,4.0121,3.3902,1.1477,1.1208,1.323,2.4438,1.3411,0.0402,0.0181,3.35,0.2552,0.3426,1.8405,1.3708,2.5321,0.4586,0.8472,matt322,2009-09-23T13:56:00Z
"C0011B-57R-6, 74.0 cm",NULL,NULL,853.195,853.195,853.195,853.195,"C0011B-57R-6, 76.5 cm",NULL,NULL,853.22,853.22,853.22,853.22,"C0011B-57R-6 WR, 74.0--76.5 cm",CKY000000000000507410,PP,NULL,7,matt322,NULL,CKY,2009-09-22T12:57:27Z,NULL,420,glass beaker,6.229,2.795,11.0791,5.5098,4.8501,420,glass beaker,6.229,2.795,9.9872,4.4226,3.7582,1.1315,1.105,1.6098,2.7148,1.6276,0.0396,0.0178,3.7186,0.2333,0.3043,1.7865,1.3698,2.31,0.407,0.6864,fuway,2010-08-17T03:19:07Z
"C0011B-58R-1, 22.0 cm",NULL,NULL,856.109,856.12,856.109,856.12,"C0011B-58R-1, 23.0 cm",NULL,NULL,856.119,856.13,856.119,856.13,"C0011B-58R-1 W, 22.0--23.0 cm",CKY000000000000519010,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T20:39:52Z,NULL,185,glass beaker,5.859,2.683,10.1666,4.91,4.3076,185,glass beaker,5.859,2.683,9.3392,4.0862,3.4802,0.8574,0.8373,1.3897,2.227,1.4032,0.03,0.0135,3.4502,0.199,0.2485,1.9343,1.5493,2.4827,0.376,0.6025,fuway,2010-08-17T03:19:03Z
"C0011B-58R-1, 119.0 cm",NULL,NULL,857.032,857.09,857.032,857.09,"C0011B-58R-1, 120.0 cm",NULL,NULL,857.041,857.1,857.041,857.1,"C0011B-58R-1 W, 119.0--120.0 cm",CKY000000000000519110,PP,NULL,5,glenn322,NULL,CKY,2009-09-22T20:39:53Z,NULL,194,glass beaker,6.037,2.728,10.5278,4.8471,4.4908,194,glass beaker,6.037,2.728,9.8128,4.1353,3.7758,0.7409,0.7235,1.3956,2.1191,1.4073,0.0259,0.0117,3.7499,0.165,0.1976,2.1192,1.7696,2.6869,0.3414,0.5184,yohei322,2009-09-24T01:38:32Z
