Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-47R-2, 0.0 cm",NULL,NULL,712.61,712.61,712.61,712.61,"C0011B-47R-2, 2.0 cm",NULL,NULL,712.63,712.63,712.63,712.63,"C0011B-47R-2 WR, 0.0--2.0 cm",CKY000000000000416410,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-18T02:12:25Z,NULL,NULL,NULL,NULL,0.05067,0.42817,0.36722,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-2, 1.0 cm",NULL,NULL,712.62,712.62,712.62,712.62,"C0011B-47R-2, 1.0 cm",NULL,NULL,712.62,712.62,712.62,712.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1609,1.3408,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,40,0.14,280,25,0.03,0.03,0.11,0.11,0.17,0.03,0.14,0.01,0.08,0.56,5,3.9,0.05,0.8,0.1,422,0.2,464,miyabes,2009-10-08T12:54:19Z
"C0011B-47R-4, 60.0 cm",NULL,NULL,715.2,715.2,715.2,715.2,"C0011B-47R-4, 62.0 cm",NULL,NULL,715.22,715.22,715.22,715.22,"C0011B-47R-4 WR, 60.0--62.0 cm",CKY000000000000420210,CARB,NULL,8,brandon322,NULL,CKY,2009-09-18T04:11:45Z,NULL,NULL,NULL,NULL,0.06398,0.65537,2.4308,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-4, 61.0 cm",NULL,NULL,715.21,715.21,715.21,715.21,"C0011B-47R-4, 61.0 cm",NULL,NULL,715.21,715.21,715.21,715.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1215,1.0125,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-5, 83.0 cm",NULL,NULL,716.85,716.85,716.85,716.85,"C0011B-47R-5, 85.0 cm",NULL,NULL,716.87,716.87,716.87,716.87,"C0011B-47R-5 WR, 83.0--85.0 cm",CKY000000000000421010,CARB,NULL,8,brandon322,NULL,CKY,2009-09-18T04:14:12Z,NULL,NULL,NULL,NULL,0.05512,0.41379,0.28527,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-5, 84.0 cm",NULL,NULL,716.86,716.86,716.86,716.86,"C0011B-47R-5, 84.0 cm",NULL,NULL,716.86,716.86,716.86,716.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0906,0.755,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-5, 113.0 cm",NULL,NULL,717.15,717.15,717.15,717.15,"C0011B-47R-5, 115.0 cm",NULL,NULL,717.17,717.17,717.17,717.17,"C0011B-47R-5 WR, 113.0--115.0 cm",CKY000000000000421810,CARB,NULL,8,brandon322,NULL,CKY,2009-09-18T04:17:14Z,NULL,NULL,NULL,NULL,0.05309,0.66595,0.42797,9/25/2009,kuriharar,2009-10-02T01:38:01Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-47R-5, 114.0 cm",NULL,NULL,717.16,717.16,717.16,717.16,"C0011B-47R-5, 114.0 cm",NULL,NULL,717.16,717.16,717.16,717.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3168,2.6399,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-48R-2, 9.0 cm",NULL,NULL,722.09,722.09,722.09,722.09,"C0011B-48R-2, 11.0 cm",NULL,NULL,722.11,722.11,722.11,722.11,"C0011B-48R-2 W, 9.0--11.0 cm",CKY000000000000432510,CARB,NULL,3,andre322,NULL,CKY,2009-09-18T14:11:53Z,NULL,NULL,NULL,NULL,0.05472,0.43098,0.07004,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-48R-2, 10.0 cm",NULL,NULL,722.1,722.1,722.1,722.1,"C0011B-48R-2, 10.0 cm",NULL,NULL,722.1,722.1,722.1,722.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0888,0.74,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-48R-3, 25.0 cm",NULL,NULL,722.785,722.785,722.785,722.785,"C0011B-48R-3, 27.0 cm",NULL,NULL,722.805,722.805,722.805,722.805,"C0011B-48R-3 WR, 25.0--27.0 cm",CKY000000000000424110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-18T07:19:51Z,NULL,NULL,NULL,NULL,0.07524,0.93012,0.32248,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-48R-3, 26.0 cm",NULL,NULL,722.795,722.795,722.795,722.795,"C0011B-48R-3, 26.0 cm",NULL,NULL,722.795,722.795,722.795,722.795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1463,1.2191,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,83,0.11,105,12,0,0.07,0.03,0.11,0.53,0.12,0.41,0.02,0.5,0.63,14.97,3.7,0.07,2.88,0.2,426,0.6,468,miyabes,2009-10-08T12:54:19Z
"C0011B-49R-7, 122.0 cm",NULL,NULL,736.14,736.14,736.14,736.14,"C0011B-49R-7, 124.0 cm",NULL,NULL,736.16,736.16,736.16,736.16,"C0011B-49R-7 W, 122.0--124.0 cm",CKY000000000000438110,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-18T20:36:23Z,NULL,NULL,NULL,NULL,0.05338,0.61595,0.09818,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-49R-7, 123.0 cm",NULL,NULL,736.15,736.15,736.15,736.15,"C0011B-49R-7, 123.0 cm",NULL,NULL,736.15,736.15,736.15,736.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3083,2.5691,miyabes,2009-10-02T10:35:40Z,NULL,NULL,NULL,NULL,NULL,NULL,33,0.21,200,7,0.02,0.03,0.1,0.19,0.27,0.04,0.23,0.01,0.1,0.6,8.46,7.1,0.02,0.86,0,435,0.3,477,miyabes,2009-10-08T12:54:19Z
"C0011B-50R-2, 29.0 cm",NULL,NULL,739.09,739.09,739.09,739.09,"C0011B-50R-2, 31.0 cm",NULL,NULL,739.11,739.11,739.11,739.11,"C0011B-50R-2 WR, 29.0--31.0 cm",CKY000000000000437310,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-18T19:36:21Z,NULL,NULL,NULL,NULL,0.05048,0.383,0.13276,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-50R-2, 30.0 cm",NULL,NULL,739.1,739.1,739.1,739.1,"C0011B-50R-2, 30.0 cm",NULL,NULL,739.1,739.1,739.1,739.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1119,0.9325,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,63,0.13,274,0,0.07,0.02,0.02,0.07,0.17,0.03,0.14,0,0.12,0.52,5.12,2.4,0,0.69,0,427,0.19,469,miyabes,2009-10-08T12:54:19Z
"C0011B-51R-1, 136.0 cm",NULL,NULL,748.761,748.86,748.761,748.86,"C0011B-51R-1, 139.0 cm",NULL,NULL,748.789,748.89,748.789,748.89,"C0011B-51R-1 WR, 136.0--139.0 cm",CKY000000000000447110,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T15:20:22Z,NULL,NULL,NULL,NULL,0.04713,0.35379,0.08868,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-1, 137.5 cm",NULL,NULL,748.775,748.875,748.775,748.875,"C0011B-51R-1, 137.5 cm",NULL,NULL,748.775,748.875,748.775,748.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1464,1.22,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-2, 58.0 cm",NULL,NULL,749.331,749.475,749.331,749.475,"C0011B-51R-2, 60.0 cm",NULL,NULL,749.35,749.495,749.35,749.495,"C0011B-51R-2 WR, 58.0--60.0 cm",CKY000000000000448010,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T15:32:23Z,NULL,NULL,NULL,NULL,0.05213,0.342,0.1336,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-2, 59.0 cm",NULL,NULL,749.341,749.485,749.341,749.485,"C0011B-51R-2, 59.0 cm",NULL,NULL,749.341,749.485,749.341,749.485,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0805,0.6708,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-4, 0.0 cm",NULL,NULL,750.514,750.75,750.514,750.75,"C0011B-51R-4, 2.0 cm",NULL,NULL,750.532,750.77,750.532,750.77,"C0011B-51R-4 WR, 0.0--2.0 cm",CKY000000000000444510,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-20T11:34:42Z,NULL,NULL,NULL,NULL,0.04931,0.32509,0.14734,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-4, 1.0 cm",NULL,NULL,750.523,750.76,750.523,750.76,"C0011B-51R-4, 1.0 cm",NULL,NULL,750.523,750.76,750.523,750.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0749,0.6241,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,38,0.07,242,8,0.03,0.03,0.06,0.05,0.21,0.02,0.19,0.01,0.09,0.58,6.95,1.6,0.02,0.57,0.1,430,0.24,472,miyabes,2009-10-08T12:54:19Z
"C0011B-51R-7, 135.0 cm",NULL,NULL,754.946,755.53,754.946,755.53,"C0011B-51R-7, 137.0 cm",NULL,NULL,754.965,755.55,754.965,755.55,"C0011B-51R-7 W, 135.0--137.0 cm",CKY000000000000452410,CARB,NULL,3,hajime322,NULL,CKY,2009-09-20T18:55:01Z,NULL,NULL,NULL,NULL,0.05162,0.30943,0.17749,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-51R-7, 136.0 cm",NULL,NULL,754.955,755.54,754.955,755.54,"C0011B-51R-7, 136.0 cm",NULL,NULL,754.955,755.54,754.955,755.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0608,0.5066,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-1, 60.0 cm",NULL,NULL,757.557,757.6,757.557,757.6,"C0011B-52R-1, 62.0 cm",NULL,NULL,757.575,757.62,757.575,757.62,"C0011B-52R-1 WR, 60.0--62.0 cm",CKY000000000000456910,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T20:52:01Z,NULL,NULL,NULL,NULL,0.04843,0.27849,0.24906,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-1, 61.0 cm",NULL,NULL,757.566,757.61,757.566,757.61,"C0011B-52R-1, 61.0 cm",NULL,NULL,757.566,757.61,757.566,757.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0712,0.5933,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-1, 112.0 cm",NULL,NULL,758.039,758.12,758.039,758.12,"C0011B-52R-1, 114.0 cm",NULL,NULL,758.058,758.14,758.058,758.14,"C0011B-52R-1 WR, 112.0--114.0 cm",CKY000000000000455910,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T20:35:57Z,NULL,NULL,NULL,NULL,0.04425,0.24075,0.16287,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-1, 113.0 cm",NULL,NULL,758.048,758.13,758.048,758.13,"C0011B-52R-1, 113.0 cm",NULL,NULL,758.048,758.13,758.048,758.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0696,0.58,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-2, 11.0 cm",NULL,NULL,758.396,758.505,758.396,758.505,"C0011B-52R-2, 13.0 cm",NULL,NULL,758.415,758.525,758.415,758.525,"C0011B-52R-2 WR, 11.0--13.0 cm",CKY000000000000457710,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T21:02:30Z,NULL,NULL,NULL,NULL,0.0187,0.22855,0.19194,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-2, 12.0 cm",NULL,NULL,758.406,758.515,758.406,758.515,"C0011B-52R-2, 12.0 cm",NULL,NULL,758.406,758.515,758.406,758.515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1219,1.0158,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-3, 95.5 cm",NULL,NULL,760.498,760.77,760.498,760.77,"C0011B-52R-3, 98.0 cm",NULL,NULL,760.521,760.795,760.521,760.795,"C0011B-52R-3 WR, 95.5--98.0 cm",CKY000000000000458910,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T21:41:56Z,NULL,NULL,NULL,NULL,0.05101,0.50705,0.18535,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-3, 96.8 cm",NULL,NULL,760.51,760.783,760.51,760.783,"C0011B-52R-3, 96.8 cm",NULL,NULL,760.51,760.783,760.51,760.783,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2492,2.0766,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-5, 82.0 cm",NULL,NULL,762.998,763.465,762.998,763.465,"C0011B-52R-5, 84.0 cm",NULL,NULL,763.016,763.485,763.016,763.485,"C0011B-52R-5 WR, 82.0--84.0 cm",CKY000000000000460610,CARB,NULL,10,matt322,NULL,CKY,2009-09-20T22:08:50Z,NULL,NULL,NULL,NULL,0.05375,0.28304,0.30998,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-5, 83.0 cm",NULL,NULL,763.007,763.475,763.007,763.475,"C0011B-52R-5, 83.0 cm",NULL,NULL,763.007,763.475,763.007,763.475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0448,0.3733,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-6, 0.0 cm",NULL,NULL,763.341,763.835,763.341,763.835,"C0011B-52R-6, 2.0 cm",NULL,NULL,763.36,763.855,763.36,763.855,"C0011B-52R-6 WR, 0.0--2.0 cm",CKY000000000000450210,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-20T18:30:46Z,NULL,NULL,NULL,NULL,0.06259,0.57922,0.44317,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-52R-6, 1.0 cm",NULL,NULL,763.35,763.845,763.35,763.845,"C0011B-52R-6, 1.0 cm",NULL,NULL,763.35,763.845,763.35,763.845,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0836,0.6966,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,53,0.11,111,9,0.04,0.04,0.02,0.07,0.41,0.06,0.35,0,0.24,0.5,12.86,2.5,0.04,1.37,0.1,420,0.45,462,miyabes,2009-10-08T12:54:19Z
"C0011B-53R-1, 82.0 cm",NULL,NULL,767.045,767.32,767.045,767.32,"C0011B-53R-1, 84.0 cm",NULL,NULL,767.058,767.34,767.058,767.34,"C0011B-53R-1 WR, 82.0--84.0 cm",CKY000000000000466910,CARB,NULL,8,brandon322,NULL,CKY,2009-09-21T00:28:01Z,NULL,NULL,NULL,NULL,0.0567,0.37044,0.58076,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-53R-1, 83.0 cm",NULL,NULL,767.051,767.33,767.051,767.33,"C0011B-53R-1, 83.0 cm",NULL,NULL,767.051,767.33,767.051,767.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1288,1.0733,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-53R-1, 112.0 cm",NULL,NULL,767.244,767.62,767.244,767.62,"C0011B-53R-1, 114.0 cm",NULL,NULL,767.257,767.64,767.257,767.64,"C0011B-53R-1 WR, 112.0--114.0 cm",CKY000000000000467710,CARB,NULL,8,brandon322,NULL,CKY,2009-09-21T00:30:25Z,NULL,NULL,NULL,NULL,0.05367,0.7537,0.63682,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-53R-1, 113.0 cm",NULL,NULL,767.251,767.63,767.251,767.63,"C0011B-53R-1, 113.0 cm",NULL,NULL,767.251,767.63,767.251,767.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5226,4.3548,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-53R-2, 0.0 cm",NULL,NULL,767.301,767.705,767.301,767.705,"C0011B-53R-2, 2.0 cm",NULL,NULL,767.314,767.725,767.314,767.725,"C0011B-53R-2 WR, 0.0--2.0 cm",CKY000000000000462010,CARB,NULL,3,matt322,NULL,CKY,2009-09-20T22:46:48Z,NULL,NULL,NULL,NULL,0.06351,0.67024,0.56093,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-53R-2, 1.0 cm",NULL,NULL,767.307,767.715,767.307,767.715,"C0011B-53R-2, 1.0 cm",NULL,NULL,767.307,767.715,767.307,767.715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2086,1.7383,miyabes,2009-10-02T10:35:41Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-54R-5, 44.0 cm",NULL,NULL,774.675,774.675,774.675,774.675,"C0011B-54R-5, 46.0 cm",NULL,NULL,774.695,774.695,774.695,774.695,"C0011B-54R-5 WR, 44.0--46.0 cm",CKY000000000000479610,CARB,NULL,8,brandon322,NULL,CKY,2009-09-21T07:50:17Z,NULL,NULL,NULL,NULL,0.06363,0.5382,0.34885,9/25/2009,kuriharar,2009-10-02T01:38:02Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
